N,Triton,Nvfp4sim
256.000000,251.286371,12.948584
384.000000,358.602828,14.656854
512.000000,406.054612,15.660720
640.000000,479.131149,16.264240
768.000000,516.067430,16.802042
896.000000,564.323637,17.163412
1024.000000,596.730455,17.445457
1152.000000,653.449070,17.687330
1280.000000,697.661293,17.848667
1408.000000,678.167988,18.014875
1536.000000,759.141318,18.148278
1664.000000,740.870166,18.248094
1792.000000,787.425106,18.355863
1920.000000,808.491881,18.435638
2048.000000,804.029475,18.489838
2176.000000,849.575593,18.578118
2304.000000,838.348585,18.630197
2432.000000,868.050082,18.689386
2560.000000,838.189300,18.729985
2688.000000,891.270103,18.779392
2816.000000,891.616111,18.819620
2944.000000,902.070479,18.855580
3072.000000,929.086283,18.888771
3200.000000,921.853179,18.917112
3328.000000,946.959916,18.943347
3456.000000,916.282292,18.968445
3584.000000,937.637204,18.997849
3712.000000,955.200904,19.015955
3840.000000,953.735404,19.020387
3968.000000,971.571471,19.035603
4096.000000,962.812071,19.064058
4224.000000,987.357958,19.048102
4352.000000,972.987911,19.040850
4480.000000,992.334447,19.047511
4608.000000,992.909338,19.090758
4736.000000,993.326872,19.080291
4864.000000,1010.968235,19.081612
4992.000000,1003.654841,19.102560
5120.000000,1005.905970,19.110294
5248.000000,1021.628641,19.115757
5376.000000,1019.357014,19.127232
5504.000000,1016.801516,19.138451
5632.000000,1016.664775,19.144182
5760.000000,1033.437293,19.150006
5888.000000,1024.039173,19.160927
6016.000000,1037.904297,19.166230
6144.000000,1029.676424,19.174260
6272.000000,1042.146326,19.182150
6400.000000,1034.751077,19.192752
6528.000000,1040.914717,19.194882
6656.000000,1044.528357,19.206047
6784.000000,1042.017377,19.207217
6912.000000,1046.475128,19.216153
7040.000000,1037.326431,19.221797
7168.000000,1051.712011,19.225153
7296.000000,1040.498688,19.231928
7424.000000,1048.677542,19.197892
7552.000000,1056.369957,19.241597
7680.000000,1057.658216,19.242910
7808.000000,1050.357631,19.247373
7936.000000,1057.215999,19.253446
8064.000000,1051.658672,19.259276
8192.000000,1041.635052,19.259742
8320.000000,1062.914908,19.264446
8448.000000,1053.321175,19.269541
8576.000000,1068.320766,19.274636
8704.000000,1055.232501,19.277442
8832.000000,1069.347413,19.279515
8960.000000,1054.771595,19.279701
9088.000000,1066.701997,19.283282
9216.000000,1059.506608,19.287046
9344.000000,1065.007109,19.287786
9472.000000,1062.254387,19.292590
9600.000000,1067.939529,19.294296
9728.000000,1064.177129,19.299389
9856.000000,1065.750479,19.301913
9984.000000,1069.946515,19.304663
10112.000000,1061.692376,19.305737
10240.000000,1071.338466,19.308593
10368.000000,1054.948729,19.311952
10496.000000,1071.754340,19.311729
10624.000000,1065.448267,19.317376
10752.000000,1070.878090,19.315461
10880.000000,1059.223725,19.319677
11008.000000,1069.743296,19.320868
11136.000000,1065.678475,19.320545
11264.000000,1070.795118,19.325034
11392.000000,1068.265379,19.328246
11520.000000,1056.506909,19.327692
11648.000000,1068.608529,19.329871
11776.000000,1070.762984,19.330731
11904.000000,1076.277720,19.333774
12032.000000,1068.975649,19.336324
12160.000000,1077.197049,19.340428
12288.000000,1065.873099,19.336854
12416.000000,1075.973580,19.302900
12544.000000,1069.112900,19.341423
12672.000000,1074.853028,19.328519
