N,Triton,Nvfp4sim
256.000000,236.379423,12.936923
384.000000,513.005791,14.641020
512.000000,677.758133,15.649667
640.000000,801.646700,16.291614
768.000000,841.411606,16.833284
896.000000,924.346928,17.203384
1024.000000,1025.891279,17.490924
1152.000000,1148.329923,17.719233
1280.000000,1244.200601,17.903673
1408.000000,1327.463154,18.061842
1536.000000,1398.171539,18.202530
1664.000000,1389.984788,18.308265
1792.000000,1430.146199,18.401808
1920.000000,1517.287226,18.475355
2048.000000,1574.596858,18.550931
2176.000000,1641.057922,18.612756
2304.000000,1658.521187,18.692176
2432.000000,1619.552256,18.672604
2560.000000,1735.426799,18.777093
2688.000000,1764.061510,18.786508
2816.000000,1798.607880,18.823633
2944.000000,1816.607776,18.859712
3072.000000,1873.845665,18.890992
3200.000000,1868.694318,18.921575
3328.000000,1884.612713,18.949600
3456.000000,1943.522250,18.972689
3584.000000,1974.652416,18.974648
3712.000000,1985.266979,19.020930
3840.000000,1944.264012,19.038947
3968.000000,1925.165287,19.050779
4096.000000,2009.296040,19.075183
4224.000000,2017.215324,19.090270
4352.000000,2093.393400,19.109147
4480.000000,2117.618693,19.126435
4608.000000,2073.412041,19.137551
4736.000000,2044.710260,19.157301
4864.000000,2060.684572,19.163163
4992.000000,2158.223173,19.176663
5120.000000,2160.301371,19.189064
5248.000000,2123.570090,19.197943
5376.000000,2130.870936,19.204254
5504.000000,2162.494407,19.219024
5632.000000,2169.480685,19.230935
5760.000000,2205.113217,19.241134
5888.000000,2206.520019,19.250185
6016.000000,2157.498997,19.257245
6144.000000,2148.520705,19.263280
6272.000000,2197.178531,19.273284
6400.000000,2233.257978,19.280872
6528.000000,2253.157294,19.284879
6656.000000,2271.028268,19.296640
6784.000000,2259.260252,19.303906
6912.000000,2259.358401,19.304696
7040.000000,2238.649539,19.315671
7168.000000,2221.994465,19.322993
7296.000000,2222.579806,19.325773
7424.000000,2250.380815,19.332507
7552.000000,2278.318025,19.330480
7680.000000,2308.407488,19.343041
7808.000000,2311.547867,19.348660
7936.000000,2280.299834,19.352607
8064.000000,2291.176461,19.359205
8192.000000,2312.152245,19.360861
8320.000000,2297.930438,19.365713
8448.000000,2267.342410,19.371014
8576.000000,2250.248506,19.374095
8704.000000,2261.928859,19.377403
8832.000000,2273.857246,19.379603
8960.000000,2304.163521,19.386950
9088.000000,2344.895620,19.391786
9216.000000,2347.765376,19.390869
9344.000000,2319.112586,19.392093
9472.000000,2324.439204,19.395197
9600.000000,2336.320864,19.400616
9728.000000,2332.597166,19.402078
9856.000000,2318.520962,19.405285
9984.000000,2362.361944,19.406734
10112.000000,2298.808658,19.408922
10240.000000,2286.140882,19.411741
10368.000000,2279.695975,19.411748
10496.000000,2290.051392,19.414894
10624.000000,2315.584698,19.418916
10752.000000,2307.222520,19.397137
10880.000000,2300.068466,19.421159
11008.000000,2284.477749,19.424211
11136.000000,2273.307200,19.424809
11264.000000,2314.722587,19.428894
11392.000000,2302.075492,19.432054
11520.000000,2369.577072,19.432445
11648.000000,2356.261499,19.435196
11776.000000,2365.002063,19.435508
11904.000000,2378.300241,19.436413
12032.000000,2362.210700,19.436215
12160.000000,2139.435626,19.438937
12288.000000,2252.318695,19.441763
12416.000000,2269.119380,19.441294
12544.000000,1603.883232,19.445870
12672.000000,2323.122263,19.445246
