N,Triton,Nvfp4sim
256.000000,0.037435,0.180241
384.000000,0.046563,0.238822
512.000000,0.033799,0.297529
640.000000,0.038236,0.356479
768.000000,0.042960,0.417457
896.000000,0.038900,0.474319
1024.000000,0.041320,0.533290
1152.000000,0.044229,0.592188
1280.000000,0.038588,0.651836
1408.000000,0.037338,0.709584
1536.000000,0.036198,0.770406
1664.000000,0.041728,0.828460
1792.000000,0.035303,0.888217
1920.000000,0.042146,0.948812
2048.000000,0.047974,1.007383
2176.000000,0.036415,1.066199
2304.000000,0.045584,1.125167
2432.000000,0.047869,1.184529
2560.000000,0.048238,1.244156
2688.000000,0.048359,1.303348
2816.000000,0.041789,1.362608
2944.000000,0.041209,1.421931
3072.000000,0.045135,1.480980
3200.000000,0.045206,1.541619
3328.000000,0.055553,1.598554
3456.000000,0.040077,1.658273
3584.000000,0.042961,1.716603
3712.000000,0.039349,1.776218
3840.000000,0.039176,1.835194
3968.000000,0.044747,1.894663
4096.000000,0.025772,1.953821
4224.000000,0.027418,2.013176
4352.000000,0.027489,2.072334
4480.000000,0.026895,2.132219
4608.000000,0.026736,2.190830
4736.000000,0.029135,2.249604
4864.000000,0.028519,2.309296
4992.000000,0.029417,2.369035
5120.000000,0.029939,2.427686
5248.000000,0.030198,2.487326
5376.000000,0.030797,2.546067
5504.000000,0.031348,2.604504
5632.000000,0.032398,2.663907
5760.000000,0.032315,2.722221
5888.000000,0.033736,2.782978
6016.000000,0.036322,2.841728
6144.000000,0.034125,2.901139
6272.000000,0.037499,2.960572
6400.000000,0.039007,3.018759
6528.000000,0.040599,3.078790
6656.000000,0.040085,3.138487
6784.000000,0.039725,3.198023
6912.000000,0.042029,3.258511
7040.000000,0.043659,3.315546
7168.000000,0.042907,3.375005
7296.000000,0.042463,3.433650
7424.000000,0.041924,3.493471
7552.000000,0.043770,3.553569
7680.000000,0.046030,3.615548
7808.000000,0.045097,3.674096
7936.000000,0.046010,3.728886
8064.000000,0.046826,3.788919
8192.000000,0.048992,3.852485
8320.000000,0.048885,3.915593
8448.000000,0.052606,3.974212
8576.000000,0.051061,4.033122
8704.000000,0.051313,4.092697
8832.000000,0.053637,4.152704
8960.000000,0.053878,4.212943
9088.000000,0.053950,4.274719
9216.000000,0.055463,4.331625
9344.000000,0.058283,4.394273
9472.000000,0.056359,4.449298
9600.000000,0.059993,4.513166
9728.000000,0.060692,4.572629
9856.000000,0.058207,4.631438
9984.000000,0.061489,4.691117
10112.000000,0.061307,4.751550
10240.000000,0.061603,4.809558
10368.000000,0.063233,4.869556
10496.000000,0.064041,4.929251
10624.000000,0.065759,4.989032
10752.000000,0.067164,5.047288
10880.000000,0.068408,5.107879
11008.000000,0.067144,5.167212
11136.000000,0.069876,5.228107
11264.000000,0.070684,5.286722
11392.000000,0.070367,5.345851
11520.000000,0.067844,5.406112
11648.000000,0.071888,5.465207
11776.000000,0.073705,5.526133
11904.000000,0.074234,5.584813
12032.000000,0.074540,5.644288
12160.000000,0.075848,5.708024
12288.000000,0.078315,5.764248
12416.000000,0.076297,5.822904
12544.000000,0.077659,5.883216
12672.000000,0.078201,5.943134
