N,Triton,Nvfp4sim
256.000000,0.008357,0.180672
384.000000,0.008923,0.239638
512.000000,0.010345,0.298779
640.000000,0.010948,0.357377
768.000000,0.011189,0.415424
896.000000,0.012418,0.474424
1024.000000,0.013273,0.534748
1152.000000,0.014778,0.593941
1280.000000,0.015014,0.653266
1408.000000,0.016734,0.712336
1536.000000,0.016453,0.771765
1664.000000,0.017262,0.830108
1792.000000,0.018468,0.890240
1920.000000,0.018919,0.948095
2048.000000,0.020860,1.008208
2176.000000,0.020832,1.066656
2304.000000,0.022224,1.126464
2432.000000,0.022455,1.184699
2560.000000,0.023172,1.245506
2688.000000,0.024617,1.302257
2816.000000,0.024736,1.361798
2944.000000,0.026276,1.424579
3072.000000,0.026862,1.480276
3200.000000,0.027426,1.538949
3328.000000,0.028582,1.597779
3456.000000,0.029589,1.657126
3584.000000,0.031182,1.716586
3712.000000,0.032999,1.775110
3840.000000,0.031988,1.834705
3968.000000,0.032822,1.893903
4096.000000,0.033272,1.953234
4224.000000,0.034926,2.012241
4352.000000,0.034949,2.071322
4480.000000,0.036876,2.130319
4608.000000,0.037377,2.189531
4736.000000,0.038913,2.253913
4864.000000,0.038863,2.314286
4992.000000,0.039242,2.373914
5120.000000,0.040732,2.430914
5248.000000,0.041080,2.495508
5376.000000,0.041805,2.554835
5504.000000,0.043101,2.614108
5632.000000,0.043688,2.673607
5760.000000,0.045192,2.733309
5888.000000,0.045464,2.792563
6016.000000,0.047039,2.851330
6144.000000,0.047611,2.911786
6272.000000,0.049486,2.971729
6400.000000,0.049211,3.030435
6528.000000,0.049657,3.090656
6656.000000,0.051674,3.150161
6784.000000,0.052013,3.210036
6912.000000,0.053557,3.269097
7040.000000,0.055437,3.328225
7168.000000,0.054376,3.387710
7296.000000,0.055268,3.447208
7424.000000,0.055989,3.506240
7552.000000,0.057760,3.566596
7680.000000,0.057862,3.626702
7808.000000,0.059165,3.685429
7936.000000,0.059936,3.744969
8064.000000,0.060289,3.804381
8192.000000,0.061400,3.863743
8320.000000,0.062036,3.922744
8448.000000,0.063824,3.982653
8576.000000,0.063864,4.042798
8704.000000,0.065759,4.101498
8832.000000,0.066416,4.161087
8960.000000,0.067878,4.220855
9088.000000,0.068412,4.281833
9216.000000,0.070064,4.340255
9344.000000,0.069793,4.403367
9472.000000,0.071432,4.459473
9600.000000,0.071679,4.519195
9728.000000,0.072580,4.579032
9856.000000,0.073866,4.637534
9984.000000,0.074682,4.698186
10112.000000,0.076344,4.756590
10240.000000,0.076224,4.816109
10368.000000,0.078029,4.876440
10496.000000,0.078454,4.935763
10624.000000,0.080169,4.996318
10752.000000,0.080069,5.054178
10880.000000,0.081357,5.115251
11008.000000,0.082541,5.174612
11136.000000,0.084613,5.234873
11264.000000,0.084236,5.293301
11392.000000,0.084750,5.359037
11520.000000,0.086155,5.412260
11648.000000,0.086546,5.472503
11776.000000,0.088476,5.532454
11904.000000,0.089412,5.591706
12032.000000,0.090656,5.651270
12160.000000,0.090934,5.710584
12288.000000,0.092093,5.770758
12416.000000,0.093950,5.830588
12544.000000,0.094250,5.889872
12672.000000,0.094467,5.949660
