N,Triton,Nvfp4sim
256.000000,257.096989,11.518434
384.000000,347.229664,13.079663
512.000000,408.450810,14.011091
640.000000,485.186029,14.667900
768.000000,531.035128,15.147444
896.000000,595.972095,15.441990
1024.000000,645.251595,15.719895
1152.000000,627.861407,15.859166
1280.000000,691.986173,16.050050
1408.000000,692.788891,16.154676
1536.000000,743.091294,16.306907
1664.000000,760.145068,16.422573
1792.000000,773.800487,16.510457
1920.000000,829.649283,16.586956
2048.000000,817.486859,16.654638
2176.000000,866.821004,16.711419
2304.000000,859.556410,16.762109
2432.000000,865.688933,16.804387
2560.000000,906.914104,16.841819
2688.000000,887.489018,16.907939
2816.000000,899.243262,16.920642
2944.000000,902.959133,16.971047
3072.000000,918.876574,17.000531
3200.000000,928.781172,17.033598
3328.000000,941.118170,17.058262
3456.000000,954.307597,17.089473
3584.000000,959.700264,17.107706
3712.000000,917.876360,17.125667
3840.000000,960.828118,17.130012
3968.000000,984.428648,17.161694
4096.000000,1007.255713,17.178177
4224.000000,1010.498485,17.194479
4352.000000,1016.890367,17.217247
4480.000000,1018.485817,17.227790
4608.000000,1025.545747,17.238893
4736.000000,998.195965,17.220124
4864.000000,1027.896137,17.264764
4992.000000,1044.522329,17.214358
5120.000000,1018.767756,17.240257
5248.000000,1048.665277,17.264345
5376.000000,1036.140398,17.238714
5504.000000,1033.566749,17.254781
5632.000000,1048.101470,17.222965
5760.000000,1060.756872,17.260988
5888.000000,1073.259212,17.272047
6016.000000,1076.985767,17.275539
6144.000000,1067.100463,17.285828
6272.000000,1049.074097,17.292356
6400.000000,1066.154404,17.298093
6528.000000,1073.994672,17.301822
6656.000000,1061.244845,17.305572
6784.000000,1079.186001,17.308834
6912.000000,1059.783343,17.319443
7040.000000,1030.454712,17.324804
7168.000000,1084.574927,17.333144
7296.000000,1081.639258,17.336827
7424.000000,1075.650584,17.339001
7552.000000,1082.905824,17.347564
7680.000000,1084.933527,17.346797
7808.000000,1080.901151,17.354576
7936.000000,1087.427225,17.358507
8064.000000,1075.311073,17.362448
8192.000000,1084.693558,17.364740
8320.000000,1090.351429,17.369756
8448.000000,1082.144660,17.373389
8576.000000,1088.715857,17.346595
8704.000000,1084.120336,17.380731
8832.000000,1095.204506,17.384182
8960.000000,1081.071795,17.390270
9088.000000,1096.244454,17.388030
9216.000000,1090.393220,17.395964
9344.000000,1096.461783,17.398552
9472.000000,1086.083725,17.400157
9600.000000,1087.358381,17.405962
9728.000000,1103.533718,17.405400
9856.000000,1092.970526,17.410045
9984.000000,1091.781333,17.411419
10112.000000,1080.664692,17.416261
10240.000000,1091.465678,17.412786
10368.000000,1086.974132,17.416556
10496.000000,1100.397853,17.419647
10624.000000,1081.902769,17.421795
10752.000000,1100.098427,17.426378
10880.000000,1094.849717,17.426062
11008.000000,1098.984923,17.426680
11136.000000,1070.983592,17.427130
11264.000000,1095.810293,17.430384
11392.000000,1101.518292,17.405139
11520.000000,1096.743427,17.434915
11648.000000,1095.427850,17.436154
11776.000000,1097.519610,17.434394
11904.000000,1091.457373,17.439962
12032.000000,1089.831372,17.442386
12160.000000,1098.762720,17.441857
12288.000000,1090.839710,17.444818
12416.000000,1085.640566,17.446458
12544.000000,1091.499748,17.446987
12672.000000,1093.707490,17.449704
