N,Triton,Nvfp4sim
256.000000,333.135296,11.574514
384.000000,501.483687,13.153014
512.000000,654.820609,14.066958
640.000000,797.255668,14.701056
768.000000,853.982740,15.134759
896.000000,919.141414,15.431060
1024.000000,1001.998074,15.726180
1152.000000,1144.004058,15.937718
1280.000000,1244.459811,16.111180
1408.000000,1293.052102,16.249515
1536.000000,1311.110621,16.389204
1664.000000,1283.597222,16.505244
1792.000000,1385.399182,16.572612
1920.000000,1502.767567,16.620066
2048.000000,1482.716376,16.677986
2176.000000,1421.910700,16.715370
2304.000000,1480.434827,16.773353
2432.000000,1347.359111,16.810812
2560.000000,1413.423888,16.858721
2688.000000,1440.476621,16.885436
2816.000000,1420.944814,16.929149
2944.000000,1444.457295,16.965359
3072.000000,1506.833440,16.988929
3200.000000,1468.934358,17.013787
3328.000000,1469.008956,17.049021
3456.000000,1487.838553,17.073421
3584.000000,1467.230862,17.102333
3712.000000,1474.042107,17.120013
3840.000000,1503.985265,17.140562
3968.000000,1268.696022,17.155761
4096.000000,1291.087177,17.170707
4224.000000,1287.218854,17.186067
4352.000000,1325.809314,17.205149
4480.000000,1358.880343,17.207940
4608.000000,1424.844321,17.233131
4736.000000,1372.422198,17.242499
4864.000000,1363.479813,17.259344
4992.000000,1396.737462,17.263179
5120.000000,1419.096538,17.282832
5248.000000,1419.669794,17.295767
5376.000000,1429.147908,17.303890
5504.000000,1433.377856,17.308359
5632.000000,1459.746039,17.318294
5760.000000,1459.590839,17.331549
5888.000000,1437.981937,17.334200
6016.000000,1365.002864,17.342311
6144.000000,1491.301283,17.350685
6272.000000,1381.667684,17.352281
6400.000000,1346.650208,17.360690
6528.000000,1352.898071,17.368204
6656.000000,1395.886131,17.377143
6784.000000,1400.723411,17.380327
6912.000000,1368.752616,17.389687
7040.000000,1314.235397,17.398184
7168.000000,1366.752976,17.404311
7296.000000,1393.586613,17.406974
7424.000000,1442.327796,17.409274
7552.000000,1411.370590,17.416121
7680.000000,1378.194688,17.422219
7808.000000,1419.640472,17.420889
7936.000000,1411.344485,17.427263
8064.000000,1420.718788,17.433373
8192.000000,1369.983378,17.437521
8320.000000,1396.064790,17.438962
8448.000000,1313.651900,17.424562
8576.000000,1374.284158,17.430569
8704.000000,1390.573623,17.421486
8832.000000,1339.901222,17.432305
8960.000000,1364.204012,17.423618
9088.000000,1371.072399,17.426885
9216.000000,1359.661725,17.430688
9344.000000,1308.977228,17.422038
9472.000000,1371.127641,17.421671
9600.000000,1315.596927,17.449647
9728.000000,1310.004594,17.429543
9856.000000,1387.773865,17.443699
9984.000000,1329.126218,17.446545
10112.000000,1346.912436,17.443447
10240.000000,1359.310183,17.435990
10368.000000,1337.098589,17.440445
10496.000000,1352.346452,17.443985
10624.000000,1314.232797,17.444291
10752.000000,1313.452525,17.449089
10880.000000,1309.337066,17.451860
11008.000000,1345.274428,17.452504
11136.000000,1297.920168,17.453768
11264.000000,1304.749199,17.453941
11392.000000,1324.033716,17.457007
11520.000000,1390.995997,17.461751
11648.000000,1326.998176,17.462077
11776.000000,1307.685951,17.461369
11904.000000,1327.715845,17.464849
12032.000000,1325.357773,17.464388
12160.000000,1312.310333,17.462830
12288.000000,1300.213686,17.467357
12416.000000,1335.276814,17.466963
12544.000000,1324.005101,17.470069
12672.000000,1326.024813,17.470972
